Aidenbachstraße
Alte heide
Am Hart
Arabellapark
Basler Straße
Bonner Platz
Böhmerwaldplatz
Brudermühlstraße
Candidplatz
Dietlindenstraße
Dülferstraße
Feldmoching
Forstenrieder Allee
Frankfurter Ring
Fraunhoferstraße
Freimann
Friedenheimer Straße
Fröttmaning
Früstenried West
Garching
Garching-Forschungszentrum
Garching-Hochbrück
Georg-Brauchle-Ring
Gern
Giesing
Giselastraße
Goetheplatz
Großhadern
Haderner Stern
Harras
Harthof
Hasenbergl
Hauptbahnhof
Heimeranplatz
Hohenzollernplatz
Holzapfelkreuth
Implerstraße
Innsbrucker Ring
Josephsburg
Josephsplatz
Karl-Preis-Platz
Karlsplatz (Stachus)
Keiferngarten
Klinikum Großhadern
Kolumbusplatz
Königsplatz
Kreillerstraße
Laimer Platz
Lehel
Machtlfinger Straße
Maillingerstraße
Mangfallplatz
Marienplatz
Max-Weber-Platz
Messestadt Ost
Messestadt West
Michaelibad
Milbertshofen
Moosach
Moosacher St.-Martins-Platz
Moosfeld
Münchner Freiheit
Neuperlach Süd
Neuperlach Zentrum
Nordfriedhof
Obersendling
Oberwiesenfeld
Odeonsplatz
Olympia-Einkaufszentrum
Olympiazentrum
Ostbahnhof
Partnachplatz
Petuelring
Poccistraße
Prinzregentenplatz
Quiddestraße
Richard-Strauß-Straße
Rotkreuzplatz
Scheidplatz
Schwanthalerhöhe
Sendlinger Tor
Silberhornstraße
St.Quirin-Platz
Stiglmaierplatz
Studentenstadt
Thalkirchen
Therese-Giehse-Allee
Theresienstraße
Theresienwiese
Trudering
Universität
Untersbergstraße
Westendstraße
Westfriedhof
Westpark
Wettersteinplatz

